MeanTemp,Description,Incidents,Level
32,AAUTO THEFT,10.19047619,High
32,BURGLARY,13.33333333,High
32,COMMON ASSAULT,17.95238095,High
32,LARCENY,24,High
32,LARCENY FROM AUTO,13.0952381,High
32,ROBBERY - STREET,6.476190476,High
33,AGG. ASSAULT,11.30769231,High
33,AAUTO THEFT,9.576923077,High
33,BURGLARY,15.11538462,High
33,COMMON ASSAULT,19.19230769,High
33,LARCENY,23,High
33,LARCENY FROM AUTO,13.15384615,High
33,ROBBERY - STREET,6.769230769,High
34,AGG. ASSAULT,12.41666667,High
34,AAUTO THEFT,9.666666667,High
34,BURGLARY,16.79166667,High
34,COMMON ASSAULT,17.08333333,High
34,LARCENY,26.45833333,High
34,LARCENY FROM AUTO,14.20833333,High
34,ROBBERY - STREET,8.166666667,High
35,AGG. ASSAULT,11.79487179,High
35,AAUTO THEFT,10.74358974,High
35,BURGLARY,18,High
35,COMMON ASSAULT,19.12820513,High
35,LARCENY,24.28205128,High
35,LARCENY FROM AUTO,14.25641026,High
35,ROBBERY - STREET,7.179487179,High
36,AGG. ASSAULT,12.61538462,High
36,AAUTO THEFT,9.923076923,High
36,BURGLARY,15.42307692,High
36,COMMON ASSAULT,18.76923077,High
36,LARCENY,23.26923077,High
36,LARCENY FROM AUTO,13.65384615,High
36,ROBBERY - STREET,7.884615385,High
37,AGG. ASSAULT,12.25925926,High
37,AAUTO THEFT,10.66666667,High
37,BURGLARY,18.51851852,High
37,COMMON ASSAULT,19.18518519,High
37,LARCENY,24.7037037,High
37,LARCENY FROM AUTO,14.44444444,High
37,ROBBERY - STREET,9,High
38,AGG. ASSAULT,12.58333333,High
38,AAUTO THEFT,10.19444444,High
38,BURGLARY,16.19444444,High
38,COMMON ASSAULT,18.27777778,High
38,LARCENY,25.19444444,High
38,LARCENY FROM AUTO,15.13888889,High
38,ROBBERY - STREET,7.888888889,High
39,AGG. ASSAULT,12.32,High
39,AAUTO THEFT,10.84,High
39,BURGLARY,17.24,High
39,COMMON ASSAULT,19.4,High
39,LARCENY,26.16,High
39,LARCENY FROM AUTO,13.28,High
39,ROBBERY - STREET,8.56,High
40,AGG. ASSAULT,13.03703704,High
40,AAUTO THEFT,9.444444444,High
40,BURGLARY,16.03703704,High
40,COMMON ASSAULT,20.22222222,High
40,LARCENY,27.03703704,High
40,LARCENY FROM AUTO,16.22222222,High
40,ROBBERY - STREET,8.222222222,High
41,AGG. ASSAULT,12.21052632,High
41,AAUTO THEFT,10.73684211,High
41,BURGLARY,16.94736842,High
41,COMMON ASSAULT,19.57894737,High
41,LARCENY,26.18421053,High
41,LARCENY FROM AUTO,16.18421053,High
41,ROBBERY - STREET,9.105263158,High
42,AGG. ASSAULT,12.46666667,High
42,AAUTO THEFT,9.933333333,High
42,BURGLARY,17.53333333,High
42,COMMON ASSAULT,21.46666667,High
42,LARCENY,23.53333333,High
42,LARCENY FROM AUTO,16.1,High
42,ROBBERY - STREET,8.066666667,High
43,AGG. ASSAULT,12.48387097,High
43,AAUTO THEFT,10.06451613,High
43,BURGLARY,16.67741935,High
43,COMMON ASSAULT,20.80645161,High
43,LARCENY,26.61290323,High
43,LARCENY FROM AUTO,17.19354839,High
